Player,Nationality,Height,born,Age
Jesse Lingard,England,175,12/15/1992,30
Oleksandr Zinchenko,Ukraine,175,12/15/1996,26
Theo Walcott,England,175,3/16/1989,34
Oliver Skipp,England,175,9/16/2000,22
Lisandro Martínez,Argentina,175,1/18/1998,25
Jack Harrison,England,175,11/20/1996,26
Jarrod Bowen,England,175,12/20/1996,26
Pervis Estupiñán,Ecuador,175,1/21/1998,25
Rico Lewis,England,175,11/21/2004,18
James Maddison,England,175,11/23/1996,26
Ben Johnson,England,175,1/24/2000,23
Thiago Alcântara,Spain,174,4/11/1991,32
Pablo Sarabia,Spain,174,5/11/1992,31
Miguel Almirón,Paraguay,174,2/10/1994,29
Harvey Barnes,England,174,12/9/1997,25
Adam Armstrong,England,174,2/10/1997,26
Kamaldeen Sulemana,Ghana,174,2/15/2002,21
Vladimír Coufal,Czech,174,8/22/1992,30
Facundo Buonanotte,Argentina,174,12/23/2004,18
Alexis Mac Allister,Argentina,174,12/24/1998,24
Idrissa Gueye,Senegal,174,9/26/1989,33
Crysencio Summerville,Netherlands,174,10/30/2001,21
Bernardo Silva,Portugal,173,8/10/1994,28
David Brooks,Wales,173,7/8/1997,26
Allan Saint-Maximin,France,173,3/12/1997,26
Renan Lodi,Brazil,173,4/8/1998,25
Pedro Neto,Portugal,173,3/9/2000,23
Kyle Walker-Peters,England,173,4/13/1997,26
Neal Maupay,France,173,8/14/1996,26
Jordan Zemura,Zimbabwe,173,11/14/1999,23
Kieran Trippier,England,173,9/19/1990,32
Flynn Downes,England,173,1/20/1999,24
Harry Wilson,Wales,173,3/22/1997,26
Marc Cucurella,Spain,173,7/22/1998,25
Romain Perraud,France,173,9/22/1997,25
Julio Enciso,Paraguay,173,1/23/2004,19
Jacob Murphy,England,173,2/24/1995,28
Adam Lallana,England,172,5/10/1988,35
Philippe Coutinho,Brazil,172,6/12/1992,31
Leandro Trossard,Belgium,172,12/4/1994,28
Raheem Sterling,England,172,12/8/1994,28
Naby Keïta,Guinea,172,2/10/1995,28
Saïd Benrahma,Algeria,172,8/10/1995,27
Yasin Ayari,Sweden,172,10/6/2003,19
Lucas Moura,Brazil,172,8/13/1992,30
Joseph Hodge,Ireland,172,9/14/2002,20
Luis Sinisterra,Colombia,172,6/17/1999,24
Antony,Brazil,172,2/24/2000,23
Emiliano Buendía,Argentina,172,12/25/1996,26
Bryan Mbeumo,Cameroon,171,8/7/1999,23
Sergio Gómez,Spain,171,9/4/2000,22
Morgan Gibbs-White,England,171,1/27/2000,23
Phil Foden,England,171,5/28/2000,23
N'Golo Kanté,France,171,3/29/1991,32
João Moutinho,Portugal,170,9/8/1986,36
Neeskens Kebano,DR Congo,170,3/10/1992,31
Bobby De Cordova-Reid,Jamaica,170,2/2/1993,30
Rico Henry,England,170,7/8/1997,26
Dan James,Wales,170,11/10/1997,25
Billy Gilmour,Scotland,170,6/11/2001,22
Harvey Elliott,England,170,4/4/2003,20
Wilfried Gnonto,Italy,170,11/5/2003,19
Aaron Cresswell,England,170,12/15/1989,33
Keane Lewis-Potter,England,170,2/22/2001,22
